Location,Classification,GPS Coordinates,Full Description,Story 1,Story 2,Connected locations
"Ash House, (Fort de la Frèniere)",Fort,"49°28'53"" N, 100°31'19"" W","Ash House was established on the Souris River, called Rivière St. Pierre by La Verendrye, near
present day Hartney in 1795, just two years after the opening of the first post on the Assiniboine
near the Souris mouth. It was on the north shore of the Souris, used as a canoe fort, the Souris
River surrounded it on three sides. It seems certain that this was a move on the part of the North
West Company to meet the growing competition of the Hudson's Bay Company.
Ash House only operated for a year or more, for, as David Thompson says,""... it had to be given
up, from it's being too open to the incursions of the Sioux Indians.” (J. B. Tyrrell, David
Thompson's Narrative of his Explorations in Western America, 1784-1812. Toronto: Champlain
Society, 1916: p.213) When David Thompson passed through the area in December of 1797; he
camped a few miles away and reported that the fort was abandoned.

In a letter to the Souris Plaindealer in 1935 from Saskatoon, the late A. S. Morton had this to
say:
""With regard to Ash House, Thompson's latitude which you give, places it within about 1½
miles of the Hartney (Grant) site. The great astronomer's observations are usually within about
half a mile of our own survey. The diary of his return trip (from the Mandans) puts Ash House
13½ miles from the entry f Plum Creek into the Souris. But Thompson's miles are usually 1½
miles so taking it the indication is again the neighborhood of Hartney.""
Morton in the same letter says: “In Thompson's narrative edited for the Champlain Society in
1916, he made the distance from Macdonnell's House near the Souris mouth to Ash House as 46
and 45 miles respectively. Here again he may have worked out the distance with some reference
to his observations and be very correct.”",,,
Bacon Ridge,Traditional Settlement,"51.01° N, 99.01° W","Bacon Ridge is located south of Lake Ebb and Flow and its associated Reserve. In the 1959
census Bacon Ridge had a Métis population of ninety and the town of Ebb and Flow to the west
had a Métis population of 77.",,,
"Baie St. Paul, Saulteaux Village",Traditional Settlement,"50.01671, -97.80490","Baie St. Paul was a French-Métis parish of the Red River Settlement located west of Fort Garry
on the Assiniboine River between the French-Métis parish of St. François Xavier and the
English-Métis parish of Poplar Point to the west. Baie St. Paul was located about eight
kilometres east of today's St. Eustache, Manitoba. This community dates back to 1832 when
Father Georges Antoine Belcourt established a mission on the south side of the Assiniboine
River.","In July of 1832 Father Belcourt selected a site for his mission along the Assiniboine River where
a large number of Indians and Métis gathered in the spring. The mission was to be named under
the protection of Saint Paul, Apostle of the Gentiles. Belcourt then returned in the spring of 1833
with Bishop Provencher’s approval. He erected a chapel during the summer, but in September
the site, sixty kilometers west of Red River was attacked by a group of Gros-Ventres Indians
from the south. Bishop Provencher, concerned for the safety of the priest and the continued
success of his work, had the mission re-located closer to St. Boniface.

The new mission, Baie St. Paul, was established in 1834 at “Prairie Fournier” (Baker’s Prairie)
on the left bank of the Assiniboine River, about thirty-seven kilometres from St. Boniface and
about eight kilometres east of today's St. Eustache, Manitoba. The site included a tract of land
with eight kilometres of river frontage three kilometres in depth, a gift from Governor George
Simpson of the Hudson’s Bay Company (HBC). Baie St. Paul was to be Belcourt's official
residence as long as he remained under Bishop Provencher's jurisdiction.

Baie St. Paul, Belcourt once again set out to build a chapel and a residence for himself and
gradually began to develop the foundations of a community for the Indians and Métis who
gathered in the area. He was convinced that once the Indians had adapted to ""civilized"" life and
were enjoying greater material comfort, they would adhere to Christian principles more readily.
Bishop Provencher had plows and oxen sent to the mission, while Belcourt helped the Natives to
build dwellings near the chapel and to plant crops such as potatoes, corn and oats. Father
Belcourt opened a school and engaged Miss Angelique Nolin and her sister Marguerite as
teachers. In 1834 they began teaching at Baie St. Paul (St. Eustache). Bishop Provencher
assigned the sisters to assist Father Belcourt in learning the Native languages to communicate
with the Indians. Angélique and Marguerite were fluent in French, English, Ojibwa and Cree.
Both sisters worked for the next decade with Father Belcourt.

Despite their cultural differences, Belcourt and the Indians and Métis with whom he worked
gradually developed a close association, and his influence over the Native population was
probably greater than that of any other white man in Red River. In September of 1834, when a
group of angry Métis gathered to protest an attack on one of their number by a Hudson's Bay
Company clerk, it was Belcourt that Governor George Simpson called upon to calm the situation.

Stories of Belcourt's work at Baie St. Paul spread quickly among the Aboriginal people of the
West. In 1836 a group from the Rocky Mountain Saulteaux tribe journeyed all the way to Red
River to meet the priest who was said to be a man of great wisdom and kindness. They were
favourably impressed by his facility with their language and the work he had done among the
Saulteaux. The delegates left, assuring Belcourt those members of their tribe would return to
Baie St. Paul in the spring. Indians from other regions also travelled to and from the mission,
carrying with them stories about the priest whose heart had been made by the “Great Spirit”.

While at Baie St. Paul, Father Belcourt also assisted Mr. Poire at the nearby mission of St.
François-Xavier. When the Métis were away on their semi-annual hunting expeditions, Belcourt
and the Nolin sisters worked on the Saulteaux-French dictionary he was compiling. His first few
winters were spent in St. Boniface, where his expert skills as a turner were put to good use in the
construction of furnishings for Bishop Provencher's cathedral. Belcourt spent most of his
subsequent winters in the diocese, teaching the basics of the Saulteaux language to newly-arrived
missionaries.

In February of 1847, Father Belcourt prepared a petition to the Queen regarding the Métis
grievances with regard to the HBC fur trade monopoly. Nine hundred and seventy-seven Métis
signed it and James Sinclair took it to England. In retaliation, George Simpson and the HBC
trumped up fur trading charges against Belcourt and had the Archbishop in Quebec remove him
from Red River. Belcourt immediately began lobbying to return and in June of 1848, Bishop
Lorus of Dubuque assigned him to Pembina. Many of his parishioners from Baie St. Paul
followed him to Pembina. He eventually moved his mission and school 30 miles west to St.
Josephs in 1853.","In 1882 there was extensive flooding and part of the cemetery at Baie St. Paul slid into the river
and many houses were destroyed. Many of the residents became discouraged and followed their
parish priest, Cyrille Saint-Pierre in relocation to North Dakota. Later Bishop Tache sent
missionary Thomas Quevillion to find a new location for the church. The new location was St.
Eustache established in January of 1898. This name was chosen because St. Eustache is the
Patron saint of hunters.",
Balsam Bay,Traditional Settlement,"50.49° N, 96.59° W","The Métis community of Balsam Bay lies slightly south of Grand Beach. The recorded history of the community reaches back to 1884, when a local cemetery became the official free burial grounds to anyone living in the communities of Stony Point, Beaconia, and Balsam Bay. The community was named by Matilda Aerson née Thomas. A 1958 census documented the Métis population as 112 at Balsam Bay.",,,"Beaconia, Belair, Stoney Point"
Barrows,Traditional Settlement,"52.83° N, 101.44° W","This area was settled by the Métis in the late 1700s. Barrows is the largest of five associated Métis communities on the edge of the Porcupine Forest. Barrows served as a quickly constructed lumber town for the Red Deer Lumber Company, although the sawmill closed around 1926 or 1927. The former Fort Red Deer River or Fort Rivière la Biche was a north West Company trading post on the Red Deer River about 20 miles upriver from Red Deer Lake. It was
founded in 1794 by Hugh McGillis. Barrows is located on PTH #77 between Mafeking and the
Manitoba-Saskatchewan border. The PTH is the approximate northern boundary of the
Porcupine Forest. Barrows is the approximate centre of a group of five communities, including
Baden, Powell, National Mills and Red Deer Lake.",,,"Baden, Powell, National Mills, Red Deer Lake"
"Bas de la Rivière, Pine Falls, Fort Alexander",Traditional Settlement,"50.56726231507608, -96.21858241309367","This Métis community, originally known as Bas de la Rivière, became known as Fort Alexander
and then Pine Falls, Manitoba. It was located on both shores of the Winnipeg River from Pointe
au Foutre (the portage around Pine Falls) right down to Traverse Bay on Lake Winnipeg. The
community was established in 1732 as a wintering post and depot for the NWC traders operating
on Lake Winnipeg. The area also possessed soil suitable for agriculture. In 1792 Simon Fraser
and Lesieur Toussaint established a large post at Bas de la Rivière (also called Sieurs Fort). It
was ideally suited for the fishers utilizing the Traverse Bay whitefish fishery. In October of each
year the whitefish spawn on the gravel bottom of Traverse Bay. When agriculture failed at Red
River, the settlers made use of the fall fishery at Bas de la Rivière. Since the big game of the area
had been hunted out by the late 1700s, fish, grains and garden vegetables were the staple foods
of the area. By 1812 the Bas de la Rivière gardens were selling vegetables to the incoming Red
River Settlers. By 1817 the Métis staff of the Northwest Company was farming wheat, barley,
peas, oats and potatoes at this location and were supplying the Red River Settlement with seed
grain. In 1815 a horse-powered flour mill was built. By 1821 they had a large ranch here for
hogs, horses and cattle. The nearby meadows provided plenty of hay for the livestock and the
marshes provided marsh grass for thatching the roofs of the Métis homes. After the
amalgamation of the HBC and NWC in 1821, Bas de la Rivière lost its importance as a major
provisioning post and transportation transfer point.",,,
Beaconia,Traditional Settlement,"50.45° N, 96.56° W",Associated with Balsam Bay; a 1958 census documented the Métis population as 56 at Beaconia.,,,
Belair,Traditional Settlement,"50.61° N, 96.55° W",Associated with Balsam Bay; a 1958 census documented the Métis population as 28 at Belair.,,,
"Berens River, Manitoba",Traditional Settlement,"52.35291284492172, -97.03029229978785","The mouth of the Berens River on the east shore of Lake Winnipeg was a stopping point for
Métis boat men and traders as early as 1765. The first post was built there in 1814 (named after
HBC governor Joseph Berens). It moved briefly to “Old Fort Portage” in 1816, then to Pigeon
River a few miles south until HBC employee John Robertson moved it back to the original site in
the mid 1820s. This was a thriving Métis community until fishing was banned on Lake Winnipeg
in 1970 due to mercury contamination. All but 50 to 60 fishermen moved and those that
remained became dependent on partial government compensation through a work program.
","In 1767 William Tomison (founder of Fort Edmonton for the Hudson's Bay Company) made his
way up the Severn River from Hudson Bay and crossed over to the headwaters of the Berens,
which he descended to its outlet in Lake Winnipeg. It was not, however, until 1814 that a post
was established at the mouth of the river and called Berens River after Joseph Berens, Governor
of the Company. This post was occupied by men sent from Jack River House, as Norway House
was then called.
Two years later (1816) the post was moved upstream to the third lake, probably to the place now
known as Old Fort Portage, where in September 1816 Donald Sutherland erected a house. At the
same place were the remains of an old house built by the Albany traders, and also an abandoned
North West Company post. The Nor'Westers built a new house on the same lake in 1818 but
occupied it for only one season, leaving the H B C in possession.
Soon after the union of the two companies in 1821 the post was re-moved to nearby Pigeon
River, becoming an outpost. It is referred to in the District Report of Norway House for 1823 as:
""Berens River better distinguished by the name of Pigeon River, is the only outpost in this
District"". A year later, however, it was returned to the lake on Berens River and in 1825, when
John Robertson, clerk, was in charge, was once more cited as a post and subsequently continued
as such. Berens River post was first included in the Winnipeg River District, until the
abandonment of that District in 1832, when it became part of the Norway House or Jack River
District.",,
Big Eddy,Road Allowance,"53.86° N, 101.33° W",This was a Métis road allowance community located seven kilometres northwest of The Pas on the Saskatchewan River. In Jean Legassé's survey of 1959 there were 125 Métis living at Big Eddy.,,,
