Location Name,Latitude,Longitude,Description,Story,Founded,Community Type
Ash House (Fort de la Frèniere),49.4589° N,100.4167° W,"This North West Company ""canoe fort"" was established on the north shore of the Souris River, which was originally called Rivière St. Pierre by La Vérendrye. Located near present-day Hartney, the fort was strategically surrounded on three sides by the river for natural defense. It was built to challenge the growing competition of the Hudson’s Bay Company in the Assiniboine region. Astronomer David Thompson recorded its precise latitude, noting it was roughly 13.5 miles from where Plum Creek entered the Souris.","The Silent Fort: A suspenseful narrative focused on the final year of operations, depicting the anxiety of traders during a lone winter at a fort ""too open to the incursions of the Sioux Indians"". The story ends with the hasty decision to desert the post just before David Thompson’s 1797 arrival found it empty.",1795,Fort / Trading Post
Bacon Ridge,51.1542° N,99.3039° W,"Located south of Lake Ebb and Flow and its associated reserve, this settlement recorded a population of ninety Métis in 1959. It was categorized as a community where the Métis lived on the ""fringe"" of an Indian Reserve. The area is historically significant as a site for traditional maple sugaring.","The Fringe Dwellers: A social drama exploring the lives of a family at Bacon Ridge, navigating the cultural and legal gap between the neighboring reserve and the provincial government while harvesting maple syrup.",1950s (Documented),Road Allowance Community
Baie de Canard,52.1764° N,100.1492° W,A centuries-old gathering place on Lake Winnipegosis known for salt springs and fisheries. Many members took scrip in 1885 but unsuccessfully petitioned to return to Treaty status in 1893.,The Scrip Petition: A historical legal drama about the 1893 petition of the Duck Bay Métis as they struggle to reclaim their rights after being misled into taking scrip.,#N/A,Settlement
Baie St. Paul,49.9822° N,97.9011° W,"A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Métis and Saulteaux to a sedentary lifestyle by providing plows and oxen to plant potatoes, corn, and oats. The settlement included a school led by the Nolin sisters, who were fluent in French, English, Ojibwa, and Cree.","Graves in the Current: A haunting historical piece set during the catastrophic 1882 flood. As the cemetery slides into the rising Assiniboine, families are forced to make a difficult trek to North Dakota with their parish priest, Cyrille Saint-Pierre, to seek a new beginning.",#N/A,Parish / Settlement
Baie St. Paul (Saulteaux Village),49.9822° N,97.9011° W,"A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Métis and Saulteaux to a sedentary lifestyle by providing plows and oxen to plant potatoes, corn, and oats. The settlement included a school led by the Nolin sisters, who were fluent in French, English, Ojibwa, and Cree.","Graves in the Current: A haunting historical piece set during the catastrophic 1882 flood. As the cemetery slides into the rising Assiniboine, families are forced to make a difficult trek to North Dakota with their parish priest, Cyrille Saint-Pierre, to seek a new beginning.",1832,Parish / Settlement
Balsam Bay,50.4189° N,96.6514° W,"A Métis community located south of Grand Beach with a recorded history dating to 1884. It was named by Matilda Aerson (née Thomas). The community was known for its local cemetery, which provided free burial grounds for several surrounding settlements including Beaconia, Stony Point, and Belair.",Guardians of the Bay: A narrative centered on the community’s efforts to maintain their unique identity and their sacred free burial grounds as the surrounding area begins to transform into a popular tourist destination for outsiders.,1884,Settlement
"Barrows (Baden, Powell, National Mills and Red Deer Lake)",52.8317° N,101.4428° W,"This area was settled by the Red River Métis in the late 1700s. Barrows is the largest of a cluster of five associated Métis communities situated on the northern edge of the Porcupine Forest. It served as a rapidly constructed lumber town for the Red Deer Lumber Company. By the mid-1920s, the mill operation ceased, leading to a decline in the town's prominence. The area is historically linked to the Fort Red Deer River (or Fort Rivière la Biche), a North West Company post founded by Hugh McGillis in 1794. In 1959, the census recorded 130 Métis in Baden, 40 in Barrows, 20 in National Mills, and 59 in Red Deer Lake.","The Last Sawmill: A historical drama set in 1926 following a Métis family in Barrows as the Red Deer Lumber Company mill whistles blow for the final time. The story explores their struggle to maintain their deep connection to the Porcupine Forest while the economic engine of their town is dismantled, forcing a choice between the land they have occupied since the 1700s and seeking labor in the cities to the south.",Late 1700s,Settlement (Lumber Towns)
Bas de la Rivière (Fort Alexander),50.6053° N,96.2917° W,"Originally established as a wintering post and depot for the North West Company in 1732, this location was vital because the soil was suitable for agriculture when other areas failed. In 1792, Simon Fraser and Lesieur Toussaint established a larger post here, also known as Sieurs Fort. It served as a strategic provisioning hub where bags of pemmican from the upper Assiniboine were stored for canoe brigades traveling to the far northwest. It was the unofficial capital of the NW Company's Lake Winnipeg district. By 1817, the Métis staff were farming wheat, barley, and potatoes, effectively supplying the Red River Settlement with seed grain during years of crop failure.",The Provisioning Brigade: A historical account set during a winter of starvation in the early Red River Settlement. The narrative follows the Métis staff at Bas de la Rivière as they manage a massive ranch for hogs and cattle and work through the night at their horse-powered flour mill to prepare life-saving seed grain and salted Traverse Bay whitefish for the desperate Selkirk Settlers.,1732,Fort / Trading Post
"Bas de la Rivière (Pine Falls, Fort Alexander)",50.6053° N,96.2917° W,"This community spanned both shores of the Winnipeg River, from Pointe au Foutre (the portage at Pine Falls) down to Traverse Bay on Lake Winnipeg. It was ideally positioned for the October whitefish fishery, where fish spawn on the gravel bottoms of the bay. By the early 1800s, it featured extensive gardens that sold vegetables to incoming settlers. After the amalgamation of the fur companies in 1821, the site lost its status as a major transshipment hub but remained a thriving Métis agricultural and fishing community. In 1958, the road allowance community at Pine Falls alone recorded a population of 300 Métis.","The Whitefish Run: A vibrant seasonal story centered on the annual October migration of whitefish. The plot follows families as they gather on the gravel shoals of Traverse Bay, utilizing traditional fishing techniques to stock their winter larders. The narrative contrasts the tranquility of the river life with the frantic labor of the ""Harvest Brigade"" that once defined the post's importance to the entire northwest.",1732,Fort / Settlement
Batoche,52.7533° N,106.1158° W,A destination for French-speaking Métis who moved permanently to their traditional wintering quarters after the 1869-70 Resistance. It is recognized as a significant community in the Métis Homeland.,Relocation West: A story follows a family from the Red River valley making the long journey west to their wintering grounds in Batoche to escape the social and political changes following 1870.,Historic wintering site,Settlement (Wintering site)
Battle River Valley,52.8833° N,108.2833° W,Recognized in the Virtual Museum as a significant community area associated with Buffalo Lake. It was part of the western territory utilized by the Métis during the buffalo hunting era.,"The Western Hunt: A narrative following a hunt brigade as they move through the Battle River Valley, documenting the seasonal lifestyle and kinship ties established in the western interior.",Historic,Settlement / Wintering site
Berens River,52.3578° N,97.0253° W,"Located on the east shore of Lake Winnipeg, this site was a stopping point for Métis boatmen since 1765. It was a thriving community until 1970, when a ban on fishing due to mercury contamination devastated the local economy. Most fishermen were forced to relocate, leaving the remainder dependent on government compensation.",The Poisoned Lake: A poignant story about a legendary fisherman from Berens River dealing with the sudden loss of his livelihood and his traditional connection to the water after the 1970 mercury crisis.,1814 (First post),Settlement / Trading Post
Big Eddy (Settlement),53.8419° N,101.3144° W,"A road allowance community located seven kilometers northwest of The Pas. When The Pas was incorporated in 1912, Big Eddy was intentionally excluded from the town boundaries. This exclusion allowed the municipality to deny Métis residents access to basic services like water and sewer.","Outside the Line: A political drama following a community leader in Big Eddy as he petitions the government to extend simple town services to his community, which is visible but legally excluded from the town's prosperity.",1912 (Incorporation exclusion),Road Allowance Community
Birds Hill,50.0069° N,96.9203° W,"Named after James Curtis Bird, an HBC Chief Factor who received a 3,000-acre land grant here in 1824. Known as ""the Pines,"" its high ground served as a vital sanctuary for Red River settlers and their livestock during the great floods of 1826 and 1852.","Refuge in the Pines: A survival story set during the 1852 flood, where diverse groups of Métis and settlers huddle together on the high ground while the valley below becomes an inland sea.",1824 (Grant),Historic Sanctuary
Birsay Village,51.0959° N,106.9812° W,"Built west of Fort Douglas by Orkney-Cree Michif freemen seeking a sedentary life. Named for the home parish of leader Magnus Spence. The village was hit by outbreaks of whooping cough and measles, followed by a plague of grasshoppers that destroyed their crops.",The Orkney Dream: A historical tragedy detailing the resilience and heartbreak of the Orkney freemen as they attempt to build a permanent home only to be defeated by disease and insects in 1819.,#N/A,Settlement
Birsay Village or Orkney Town,51.0959° N,106.9812° W,"Built west of Fort Douglas by Orkney-Cree Michif freemen seeking a sedentary life. Named for the home parish of leader Magnus Spence. The village was hit by outbreaks of whooping cough and measles, followed by a plague of grasshoppers that destroyed their crops.",The Orkney Dream: A historical tragedy detailing the resilience and heartbreak of the Orkney freemen as they attempt to build a permanent home only to be defeated by disease and insects in 1819.,1817,#N/A
Black Butte (Butte Noir),48.9833° N,102.6667° W,Listed in the Virtual Museum as a significant Métis community. It was part of the geographic network of the plains Métis.,"The Lookout: A story follows a buffalo scout stationed at Black Butte, monitoring the herds and approaching brigades during the peak of the 19th-century hunts.",Historic,Settlement / Landmark
Blood River Post (Bloodvein River),51.7850° N,96.7117° W,An HBC post located at the mouth of the Bloodvein River on Lake Winnipeg. It was part of the extensive northern trade network utilized by Métis boatmen.,"The Blood River Brigade: A story following a York boat brigade's stop at the post, highlighting the cultural interactions between traders and local bands along the eastern shore.",1794,Trading Post
Blueberry Patch,49.8553° N,97.2344° W,"Traditional harvesting grounds within the Swan Pelican Provincial Forest used by the Métis and First Nations people of Pine Creek, Camperville, and Duck Bay. Located on unoccupied Crown lands, these grounds were essential for food and medicinal gathering.","The Blue Harvest: A seasonal narrative focusing on the annual gathering of families at the patch, where traditional harvesting is blended with the sharing of oral histories and medicinal knowledge.",Ancient / Traditional,Traditional Harvesting Site
Boggy Creek and San Clara,51.5714° N,101.3931° W,"Settled by fur trade families in the 1880s, these hubs near Roblin were thriving communities for trapping and trade. In the late 1930s, many founding families (Jeromes, Langans) were forcibly displaced under the Prairie Farm Rehabilitation Act to create community pastures.","The Pasture War: A narrative focusing on the 1930s displacement, following a family as they watch their homestead being transformed into a government-run pasture while their homes are burned.",Early 1880s,Settlement
Brandon House and Fort Assiniboine,49.6978° N,99.6386° W,"Brandon House was founded by the HBC on the northeast bank of the Assiniboine River. It was a central trade hub but underwent several moves due to competition. In 1816, it was famously captured and plundered by Cuthbert Grant and a party of Métis as a prelude to the Battle of Seven Oaks.","The Capture of Brandon House: A tense historical drama set on June 1, 1816, following the strategic decisions of Cuthbert Grant's party as they seize the fort's pemmican stores to bypass the Red River colony.","Oct 16, 1793",Forts / Trading Posts
Buffalo Lake,52.4833° N,112.8500° W,Listed as a site of a historic Métis settlement and wintering grounds in the Battle River Valley.,Winter at Buffalo Lake: A narrative detailing the social life and survival strategies of a Métis wintering brigade (hivernants) at Buffalo Lake during the mid-19th century.,Historic,Settlement (Wintering site)
"Butte St. Paul (""Ot Accowabiwinins"")",48.8167° N,99.5500° W,"A significant landmark and community site mentioned in the Virtual Museum. The name ""Ot Accowabiwinins"" reflects the Indigenous roots of the location.",The Vision at the Butte: A story explores the traditional spiritual significance of the butte for the Métis and their ancestors who used it as a landmark and ceremonial site.,Ancient,Landmark
"Calf Mountain (Tete de Boeuf), Little Dance Hill",49.1809° N,98.3861° W,"Located south of Darlingford with an elevation of 1,550 feet, this was a sacred ceremonial site for Plains Indians who called it Mepawaquomoshin (Little Dance Hill). It was a strategic landmark for Red River buffalo hunters. In the mid-1850s, a legendary battle occurred here where 1,500 buffalo hunters defeated a Sioux war party; roughly 597 warriors were reportedly buried on the western slope. In 1909, an anthropologist from the University of Toronto dug into the mound, removing many artifacts to the dismay of local Aboriginal people.","The Ancestors' Smudge: A poignant modern story following Métis and Dakota descendants from Belcourt, North Dakota, as they make their annual autumn trek to the hill. The narrative focuses on the solemn ceremony of walking the mound, scattering tobacco, and offering food to the spirits of the warriors buried there, attempting to reclaim the spiritual significance of a site once desecrated by early 20th-century anthropologists.",Ancient / Historic,Historic / Ceremonial Site
Camperville,51.9161° N,100.0169° W,"History is rooted in the 1860s salt trade where Métis prepared salt for the HBC. Renamed for Father Camper, who encouraged Métis from St. Laurent to settle there. A residential school was established in 1894 to educate Indian and Métis children.","The Salt Makers: A story of the community's origins in the 1860s salt trade, focusing on families building a new life and the memory of the ""salt cribs"" at Flett's Point.",1860s (Salt); 1914 (Renamed),Settlement
Carlton Trail (Métis Stopping Points),52.7533° N,106.1158° W,"A network of stopping houses established as Métis freighted goods west to Edmonton. These houses, such as High Bluff and Tanner’s Crossing, evolved into small Métis settlements.","The Freight Road: A narrative following a Red River cart brigade along the trail, highlighting the unique culture and challenges found at each stopping house during the long trek to Edmonton.",Early 1800s,Transportation Route
Carrot River Valley (Pasquia Settlement),53.5167° N,103.2667° W,A strategic region south of The Pas used for farming and gathering. It includes settlements like Young's Point and was historically a rendezvous for hunters awaiting spring fish runs.,Pasquia Shadows: A narrative exploring early 20th-century farming efforts as Métis families navigated the transition from the fur trade to a sedentary life in the valley.,Ancient Rendezvous; 1741 (Fort),Settlement Hub
